tweets,sentiments,clean_tweet_wordlist,clean_tweet_sentence
#followfriday @murtishaw @aqui_fr @frtechstartups for being top influencers in my community this week :),1.0,"['followfriday', 'top', 'influenc', 'commun', 'week', ':)']",followfriday top influenc commun week :)
"#happybirthdayemilybett @emilybett :) wishing you all the best you beautiful,sweet,talented,amazing… https://t.co/humtc1tr3i",1.0,"['happybirthdayemilybett', ':)', 'wish', 'best', 'beauti', 'sweet', 'talent', 'amaz', '…']",happybirthdayemilybett :) wish best beauti sweet talent amaz …
2 plans for the day down the drain great :):,1.0,"['2', 'plan', 'day', 'drain', 'great', ':)']",2 plan day drain great :)
@x123456789tine @5sos_fahupdates gotta love timezones :p,1.0,"['gotta', 'love', 'timezon', ':p']",gotta love timezon :p
"are your parents proud of you — lol, not in the least :d maybe sometimes they get happy because of my grades, al... http://t.co/bjjegioogu",1.0,"['parent', 'proud', '—', 'lol', 'least', ':d', 'mayb', 'sometim', 'get', 'happi', 'grade', 'al', '...']",parent proud — lol least :d mayb sometim get happi grade al ...
grande :)  https://t.co/gsaaxnpr8u,1.0,"['grand', ':)']",grand :)
manila_bro has chosen to follow me on twitter! http://t.co/lkxzwxn1fb. thanks for the follow :),1.0,"['manila_bro', 'chosen', 'follow', 'twitter']",manila_bro chosen follow twitter
@syazwanzainal sure let me know when you're around..at this side of the world #eh u too take care :-),1.0,"['sure', 'let', 'know', 'around', '..', 'side', 'world', 'eh', 'u', 'take', 'care', ':-)']",sure let know around .. side world eh u take care :-)
#followfriday @michae1green @superninjaalan @doug_laney for being top new followers in my community this week :),1.0,"['followfriday', 'top', 'new', 'follow', 'commun', 'week', ':)']",followfriday top new follow commun week :)
finally the fucking weekend :),1.0,"['final', 'fuck', 'weekend', ':)']",final fuck weekend :)
real :),1.0,"['real', ':)']",real :)
@lolesportspedia thanks :d,1.0,"['thank', ':d']",thank :d
"hi bam ! @barsandmelody 
can you follow my bestfriend @969horan696 ? 
she loves you a lot :) 
see you in warsaw &lt;3 
love you &lt;3 x45",1.0,"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', '<3', 'love', '<3', 'x45']",hi bam follow bestfriend love lot :) see warsaw <3 love <3 x45
yes! i joined #hushedcallwithfraydoe for a call &amp; gift from @_fraydoe &lt;3 gotta get @hushedapp :d http://t.co/valve8omdt,1.0,"['ye', 'join', 'hushedcallwithfraydo', 'call', 'gift', '<3', 'gotta', 'get', ':d']",ye join hushedcallwithfraydo call gift <3 gotta get :d
@yaslarry yeahhh :),1.0,"['yeahhh', ':)']",yeahhh :)
can i dm you &amp; make your night better :))),1.0,"['dm', 'make', 'night', 'better', ':)']",dm make night better :)
just joined the #hushedpinwithsammy event :d might get to text with @sammywilk for a day! luv u @hushedapp http://t.co/kgfgawdhy9,1.0,"['join', 'hushedpinwithsammi', 'event', ':d', 'might', 'get', 'text', 'day', 'luv', 'u']",join hushedpinwithsammi event :d might get text day luv u
would really appreciate it if you share this video around :) https://t.co/mhk3b3wopq,1.0,"['would', 'realli', 'appreci', 'share', 'video', 'around', ':)']",would realli appreci share video around :)
hello :) get youth job opportunities follow &gt;&gt; @tolajobjobs @xhebenkewu_9920,1.0,"['hello', ':)', 'get', 'youth', 'job', 'opportun', 'follow']",hello :) get youth job opportun follow
@tomparker oh wow!! that is beautiful tom :),1.0,"['oh', 'wow', 'beauti', 'tom', ':)']",oh wow beauti tom :)
love you @darlingixhai22 @syreenanne :)) https://t.co/wx7yrre7sv,1.0,"['love', ':)']",love :)
i added a video to a @youtube playlist http://t.co/hvvphsyaka im back on twitch and today it going to be league :) - 1 / 3,1.0,"['ad', 'video', 'playlist']",ad video playlist
#followfriday @americanograin @pecomep @apaulicand for being top supports in my community this week :),1.0,"['followfriday', 'top', 'support', 'commun', 'week', ':)']",followfriday top support commun week :)
@zaynzaynmalik30  follow @jnlazts &amp; http://t.co/rcvcyyo0iq follow u back :),1.0,['follow'],follow
gym monday can't wait :). likes,1.0,"['gym', 'monday', ""can't"", 'wait', ':)', 'like']",gym monday can't wait :) like
"@harnilizalouis hey, here's your invite to join scope as an influencer :)  http://t.co/rzgztq2fjt",1.0,"['hey', ""here'"", 'invit', 'join', 'scope', 'influenc', ':)']",hey here' invit join scope influenc :)
those friends know themselves :),1.0,"['friend', 'know', ':)']",friend know :)
waiting for nudes :-),1.0,"['wait', 'nude', ':-)']",wait nude :-)
@jacobwhitesides go sleep u ! :))))))))),1.0,"['go', 'sleep', 'u', ':)']",go sleep u :)
stats for the day have arrived. 1 new follower and no unfollowers :) via http://t.co/rb8pmngmeo.,1.0,"['stat', 'day', 'arriv', '1', 'new', 'follow', 'unfollow', ':)', 'via']",stat day arriv 1 new follow unfollow :) via
my birthday is a week today! :d,1.0,"['birthday', 'week', 'today', ':d']",birthday week today :d
@metalgear_jp @kojima_hideo i want you're t-shirts ! they are so cool ! :d,1.0,"['want', 't-shirt', 'cool', ':d']",want t-shirt cool :d
@axerade haw phela if am not looking like mom obviously am looking like him :),1.0,"['haw', 'phela', 'look', 'like', 'mom', 'obvious', 'look', 'like', ':)']",haw phela look like mom obvious look like :)
@zaynmalik prince charming on stage :) x https://t.co/onvfhzt5fz,1.0,"['princ', 'charm', 'stage', ':)', 'x']",princ charm stage :) x
i have really good luck :),1.0,"['realli', 'good', 'luck', ':)']",realli good luck :)
stats for the day have arrived. 1 new follower and no unfollowers :) via http://t.co/xzsogac4zk.,1.0,"['stat', 'day', 'arriv', '1', 'new', 'follow', 'unfollow', ':)', 'via']",stat day arriv 1 new follow unfollow :) via
#followfriday @straz_das @dcarsoncpa @gh813600 for being top engaged members in my community this week :),1.0,"['followfriday', 'top', 'engag', 'member', 'commun', 'week', ':)']",followfriday top engag member commun week :)
@twentyonepilots @fujirock_jp tylers hipster glasses :d,1.0,"['tyler', 'hipster', 'glass', ':d']",tyler hipster glass :d
"@martyrafenstein 

hey marty !! glad to see on twitter. :)",1.0,"['hey', 'marti', 'glad', 'see', 'twitter', ':)']",hey marti glad see twitter :)
@ukbusinesslunch hi we will be joining you again today :),1.0,"['hi', 'join', 'today', ':)']",hi join today :)
@lafitnessukhelp done thanks :-),1.0,"['done', 'thank', ':-)']",done thank :-)
"its already afternoon, lets read al kahfi before the day finish :)",1.0,"['alreadi', 'afternoon', 'let', 'read', 'al', 'kahfi', 'day', 'finish', ':)']",alreadi afternoon let read al kahfi day finish :)
ohmyg! yaya dub @mainedcm im done doing to stalk your ig accnt.. gondooo moo tologooo :) haha,1.0,"['ohmyg', 'yaya', 'dub', 'im', 'done', 'stalk', 'ig', 'accnt', '..', 'gondooo', 'moo', 'tologooo', ':)', 'haha']",ohmyg yaya dub im done stalk ig accnt .. gondooo moo tologooo :) haha
@rozbabes here's your invite to become a scope influencer :) details here: http://t.co/ipj2yoiget,1.0,"[""here'"", 'invit', 'becom', 'scope', 'influenc', ':)', 'detail']",here' invit becom scope influenc :) detail
#followfriday @ngourd @locita @d_robert_kelly for being top influencers in my community this week :),1.0,"['followfriday', 'top', 'influenc', 'commun', 'week', ':)']",followfriday top influenc commun week :)
@kevinthewhippet @cassie_spaniel @bracken_nelson @bellisimobella1 @spanielharry thanks :) zzz xx,1.0,"['thank', ':)', 'zzz', 'xx']",thank :) zzz xx
physiotherapy friday is my hashtag for today. custom! :-),1.0,"['physiotherapi', 'friday', 'hashtag', 'today', 'custom', ':-)']",physiotherapi friday hashtag today custom :-)
"@cjlopez21 you know i will 💪 monica and i miss you to, yeah sounds good to me :)",1.0,"['know', '💪', 'monica', 'miss', 'yeah', 'sound', 'good', ':)']",know 💪 monica miss yeah sound good :)
"""good morning, beautiful :)"" that's all it takes.",1.0,"['good', 'morn', 'beauti', ':)', ""that'"", 'take']",good morn beauti :) that' take
"hi bam ! @barsandmelody 
can you follow my bestfriend @969horan696 ? 
she loves you a lot :) 
see you in warsaw &lt;3 
love you &lt;3 x43",1.0,"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', '<3', 'love', '<3', 'x43']",hi bam follow bestfriend love lot :) see warsaw <3 love <3 x43
@mandascapinello oh yeah?? i am definitely going to try it tonight then! :) we took your advice too! we are in treviso now!,1.0,"['oh', 'yeah', 'definit', 'go', 'tri', 'tonight', ':)', 'took', 'advic', 'treviso']",oh yeah definit go tri tonight :) took advic treviso
@morallosanthony  follow @jnlazts &amp; http://t.co/rcvcyyo0iq follow u back :),1.0,['follow'],follow
@nikkieriozzi hi! would you like an @impastel concert? let me know your city and country and i'll start working on it! thanks :),1.0,"['hi', 'would', 'like', 'concert', 'let', 'know', 'citi', 'countri', ""i'll"", 'start', 'work', 'thank', ':)']",hi would like concert let know citi countri i'll start work thank :)
"fine, 
...have a gorgeous friday, friend!!..; xo..-:)) https://t.co/jmpkzp2dai",1.0,"['fine', '...', 'gorgeou', 'friday', 'friend', '..', 'xo', '..', ':)']",fine ... gorgeou friday friend .. xo .. :)
"oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/escc9qhlob",1.0,"['oven', 'roast', 'garlic', 'oliv', 'oil', 'sun', 'dri', 'tomato', 'dri', 'basil', 'centuri', 'tuna', ':)']",oven roast garlic oliv oil sun dri tomato dri basil centuri tuna :)
@hostmyoffice @nigelpwhittaker @lemezma @twbc_business @_thebunkerjl right back atchya!  have a great day everyone :),1.0,"['right', 'back', 'atchya', 'great', 'day', 'everyon', ':)']",right back atchya great day everyon :)
@teamtall17 @flashhayer  but doesn't even follow back :-),1.0,"['even', 'follow', 'back', ':-)']",even follow back :-)
the future is almost here then :) https://t.co/role3zcl97,1.0,"['futur', 'almost', ':)']",futur almost :)
#followfriday @michelploria @myfrenchcity @jasoncreation for being top new followers in my community this week :),1.0,"['followfriday', 'top', 'new', 'follow', 'commun', 'week', ':)']",followfriday top new follow commun week :)
no chance :),1.0,"['chanc', ':)']",chanc :)
@chiab2486 @mrclivec @pcdkirkwood @dc_arvsgt @cops_president @emwilliamscccu @laurargallagher @hall11kate @laminx541 @johntarbet71 cheers :),1.0,"['cheer', ':)']",cheer :)
@thatguycalledp go po for ice cream :)),1.0,"['go', 'po', 'ice', 'cream', ':)']",go po ice cream :)
@19strawberry66 i agree 100% :),1.0,"['agre', '100', ':)']",agre 100 :)
@spazzytsukihara hehehehe thats the point :p,1.0,"['heheheh', 'that', 'point', ':p']",heheheh that point :p
@kalinwhite next time just stay home :),1.0,"['next', 'time', 'stay', 'home', ':)']",next time stay home :)
@gculloty87 thanks :),1.0,"['thank', ':)']",thank :)
#followfriday @digitalplace2be @intlboost @_lafontpresse for being top supports in my community this week :),1.0,"['followfriday', 'top', 'support', 'commun', 'week', ':)']",followfriday top support commun week :)
"@stayfaboo it will be up soon, i promise :)",1.0,"['soon', 'promis', ':)']",soon promis :)
web whatsapp volta a funcionar com iphone jailbroken. :-),1.0,"['web', 'whatsapp', 'volta', 'funcionar', 'com', 'iphon', 'jailbroken', ':-)']",web whatsapp volta funcionar com iphon jailbroken :-)
@crustyolddeen (i plan on watching it later) at 34 mins leia appears as a hologram from r2d2 w a message for obi wan as he sits w luke :),1.0,"['plan', 'watch', 'later', '34', 'min', 'leia', 'appear', 'hologram', 'r2d2', 'w', 'messag', 'obi', 'wan', 'sit', 'w', 'luke', ':)']",plan watch later 34 min leia appear hologram r2d2 w messag obi wan sit w luke :)
"@mburu__ inter 3 ucl, arsenal... small team, right! :)",1.0,"['inter', '3', 'ucl', 'arsen', '...', 'small', 'team', 'right', ':)']",inter 3 ucl arsen ... small team right :)
"just passing by :) 🚂 (@ dewsbury railway station (dew) - @nationalrailenq in dewsbury, west yorkshire) https://t.co/dvbsshbrfx",1.0,"['pass', ':)', '🚂', 'dewsburi', 'railway', 'station', 'dew', 'dewsburi', 'west', 'yorkshir']",pass :) 🚂 dewsburi railway station dew dewsburi west yorkshir
@clearlyarticle :) its 430 am smh,1.0,"[':)', '430', 'smh']",:) 430 smh
@uptommosass it's 9:25 am here :) i live in scotland :) it's strange to imagine what?- megan xx,1.0,"['9:25', ':)', 'live', 'scotland', ':)', 'strang', 'imagin', 'megan', 'xx']",9:25 :) live scotland :) strang imagin megan xx
"@bookmyshow 

 !
#masaantoday
#masaantoday

a4.... shweta tripathi  
 !
#masaantoday
#masaantoday

-.:-) .-..,",1.0,"['masaantoday', 'masaantoday', 'a4', '...', 'shweta', 'tripathi', 'masaantoday', 'masaantoday', ':-)', '..']",masaantoday masaantoday a4 ... shweta tripathi masaantoday masaantoday :-) ..
@wforwoman 5. over 20 w kurtas! and my mom has about half the number i have :d #wsalelove,1.0,"['5', '20', 'w', 'kurta', 'mom', 'half', 'number', ':d', 'wsalelov']",5 20 w kurta mom half number :d wsalelov
ah! hello back larry! @transworldbooks :) https://t.co/8xhjjb4jth,1.0,"['ah', 'hello', 'back', 'larri', ':)']",ah hello back larri :)
anyway my friday is looking kinda gooood :),1.0,"['anyway', 'friday', 'look', 'kinda', 'goood', ':)']",anyway friday look kinda goood :)
@jhun_hunyo  follow @jnlazts &amp; http://t.co/rcvcyyo0iq follow u back :),1.0,['follow'],follow
lol. well. that's life :) thank god it enn you  https://t.co/gloceijgqq,1.0,"['lol', 'well', ""that'"", 'life', ':)', 'thank', 'god', 'enn']",lol well that' life :) thank god enn
@ojbj @holmesjsamuel surely this could be your warmup this morning ??? coming on 15th to bath :) xx,1.0,"['sure', 'could', 'warmup', 'morn', 'come', '15th', 'bath', ':)', 'xx']",sure could warmup morn come 15th bath :) xx
"dum dum andar - ram sampath, sona mohapatra &amp; samantha edwards mein tulane to razi razi, wah! that's josh :) http://t.co/ul8mardfhm",1.0,"['dum', 'dum', 'andar', 'ram', 'sampath', 'sona', 'mohapatra', 'samantha', 'edward', 'mein', 'tulan', 'razi', 'razi', 'wah', ""that'"", 'josh', ':)']",dum dum andar ram sampath sona mohapatra samantha edward mein tulan razi razi wah that' josh :)
@justinbieber :) always smile,1.0,"[':)', 'alway', 'smile']",:) alway smile
@darlakim_ picture. :),1.0,"['pictur', ':)']",pictur :)
"@arsenalnewsasit thanks again, your time 16.20 right? that's perfect timing for me here :).",1.0,"['thank', 'time', '16.20', 'right', ""that'"", 'perfect', 'time', ':)']",thank time 16.20 right that' perfect time :)
#followfriday @izywaylesexpats @na4innov @inxpresscoazur for being top engaged members in my community this week :),1.0,"['followfriday', 'top', 'engag', 'member', 'commun', 'week', ':)']",followfriday top engag member commun week :)
@juleeyaanaa i know :)),1.0,"['know', ':)']",know :)
#giveitup we have already given up our gas subsidy long back when this initiative was proposed.. feeling so delighted having done that!! :),1.0,"['giveitup', 'alreadi', 'given', 'ga', 'subsidi', 'long', 'back', 'initi', 'propos', '..', 'feel', 'delight', 'done', ':)']",giveitup alreadi given ga subsidi long back initi propos .. feel delight done :)
@dayloladay i missed this yesterday!! :-),1.0,"['miss', 'yesterday', ':-)']",miss yesterday :-)
